,ID,AlldataNum,unzerospeedNum,speed_min,speed_max,begintime,endtime,timeAll,drivingtime,timespaceMax,timespaceMode,roadNum,distance
11776,e127449033ee3053,125,116,10,100,2016-08-08 10:00:19,2016-08-08 10:59:53,3574.0,3108.0,103.0,60.0,,76376
11780,0d6ea8b45923ef3e,125,125,78,100,2016-08-08 10:00:18,2016-08-08 11:00:05,3587.0,3587.0,31.0,30.0,,93627
11822,c9b4df9f6feecbec,287,242,5,43,2016-08-08 10:00:19,2016-08-08 10:58:12,3473.0,2568.0,104.0,1.0,,18730
11823,b9008f16902dc18b,133,102,1,53,2016-08-08 10:00:19,2016-08-08 11:00:02,3583.0,2658.0,60.0,30.0,,14892
11977,6534d798e0d3e915,118,112,6,53,2016-08-08 10:00:18,2016-08-08 10:59:48,3570.0,3390.0,90.0,30.0,,31236
11993,4bb1459af392f1c5,121,110,2,43,2016-08-08 10:00:19,2016-08-08 11:00:01,3582.0,3278.0,31.0,30.0,,18629
12014,34db6e4c3fcb1330,117,101,5,55,2016-08-08 10:00:17,2016-08-08 10:59:49,3572.0,3090.0,120.0,30.0,,21750
12018,2196649447327d7d,116,106,5,74,2016-08-08 10:00:20,2016-08-08 10:59:55,3575.0,3271.0,120.0,30.0,,32138
12070,75fefc17439ed87c,120,117,7,96,2016-08-08 10:00:09,2016-08-08 11:00:09,3600.0,3510.0,60.0,30.0,,80622
12072,fe373e9f25e9524f,115,100,3,57,2016-08-08 10:00:14,2016-08-08 10:59:45,3571.0,3000.0,167.0,30.0,,32957
12165,1c2f1ffed77fbae1,111,108,10,69,2016-08-08 09:59:31,2016-08-08 10:58:15,3524.0,3431.0,109.0,31.0,,50244
12211,88b1fe21302fa493,182,162,6,62,2016-08-08 10:00:20,2016-08-08 10:59:52,3572.0,2985.0,37.0,30.0,,23787
12299,0b4df2f79f8d8e33,131,115,2,61,2016-08-08 10:00:16,2016-08-08 10:59:45,3569.0,3252.0,164.0,30.0,,29288
