,ID,AlldataNum,unzerospeedNum,speed_min,speed_max,begintime,endtime,timeAll,drivingtime,timespaceMax,timespaceMode,roadNum,distance
2,fb8fbf9ca5e72b25,2295,2284,4,69,2016-08-08 09:34:21,2016-08-08 10:58:40,5059.0,4451.0,2126.0,1.0,,56345
7,e3f536cfae58508c,118,103,5,81,2016-08-08 10:00:08,2016-08-08 11:00:07,3599.0,3148.0,120.0,30.0,,29408
15,89a51500de089d04,358,225,1,53,2016-08-08 10:00:05,2016-08-08 10:59:44,3579.0,2257.0,20.0,10.0,,14670
27,376d54a0efe6a459,174,104,1,55,2016-08-08 10:00:08,2016-08-08 10:59:38,3570.0,1645.0,210.0,30.0,,13996
28,0d51ed199f81bdd1,302,255,3,68,2016-08-08 10:00:07,2016-08-08 10:56:18,3371.0,2074.0,302.0,10.0,,27427
39,074ff9495d0a1fec,212,166,1,48,2016-08-08 10:00:08,2016-08-08 10:59:53,3585.0,2475.0,60.0,15.0,,18280
40,aae9670195e3235d,242,197,3,66,2016-08-08 10:00:08,2016-08-08 11:00:08,3600.0,2934.0,18.0,15.0,,42794
45,ee8e9433219a4d20,210,132,4,58,2016-08-08 10:00:08,2016-08-08 10:59:13,3545.0,1980.0,60.0,15.0,,20197
46,1e7ed227107be983,174,126,2,65,2016-08-08 10:00:07,2016-08-08 11:00:05,3598.0,1933.0,120.0,15.0,,0
50,14ead584dd3fb181,156,118,4,51,2016-08-08 09:47:04,2016-08-08 10:59:46,4362.0,3246.0,32.0,30.0,,20045
51,8894a6a885441811,156,129,3,49,2016-08-08 09:47:03,2016-08-08 10:59:51,4368.0,3579.0,90.0,30.0,,20750
52,720db2a152d14979,156,121,3,52,2016-08-08 09:46:37,2016-08-08 10:59:50,4393.0,3441.0,32.0,30.0,,19596
53,0543a0a4f8faf023,158,119,4,63,2016-08-08 09:46:36,2016-08-08 10:59:44,4388.0,3271.0,32.0,30.0,,18575
56,926c28b7588d0017,180,178,19,76,2016-08-08 09:59:53,2016-08-08 11:00:01,3608.0,3548.0,30.0,30.0,,69749
62,050ce6c0269cc965,243,218,10,48,2016-08-08 09:52:51,2016-08-08 11:00:06,4035.0,3256.0,384.0,30.0,,30339
66,367bf482f6bed9de,252,251,8,67,2016-08-08 10:00:09,2016-08-08 10:59:50,3581.0,3551.0,93.0,30.0,,36639
70,fec9a9e85195f69f,131,112,8,66,2016-08-08 10:00:05,2016-08-08 11:00:05,3600.0,2222.0,240.0,30.0,,18117
71,2efec030119f7a3a,122,101,1,50,2016-08-08 10:00:05,2016-08-08 10:56:48,3403.0,2827.0,32.0,30.0,,25347
78,e6f14c61d25c4109,119,112,2,57,2016-08-08 10:00:05,2016-08-08 10:59:46,3581.0,3469.0,338.0,30.0,,35916
79,aadfc72cb52fd065,111,100,6,87,2016-08-08 10:00:08,2016-08-08 10:59:54,3586.0,3231.0,250.0,30.0,,43868
81,21c48eaa1a52271c,154,152,21,78,2016-08-08 10:00:05,2016-08-08 11:00:07,3602.0,3535.0,37.0,30.0,,60364
86,dafc6474f8cfdb95,251,225,6,49,2016-08-08 10:00:07,2016-08-08 10:59:24,3557.0,1997.0,60.0,3.0,,17346
89,b06bdb3f139c489b,293,271,5,61,2016-08-08 10:00:08,2016-08-08 11:00:04,3596.0,2936.0,30.0,4.0,,32143
93,86768de92ab779c7,127,114,4,76,2016-08-08 10:00:08,2016-08-08 11:00:06,3598.0,3053.0,300.0,30.0,,49615
102,eb035638e8d2ca8e,253,221,12,49,2016-08-08 10:00:08,2016-08-08 11:00:00,3592.0,2523.0,139.0,30.0,,20737
108,425f58b056c59797,382,304,8,96,2016-08-08 10:00:18,2016-08-08 11:00:14,3596.0,2711.0,166.0,10.0,,54884
110,123e6d34f042549e,366,131,3,50,2016-08-08 10:00:08,2016-08-08 10:58:11,3483.0,1184.0,119.0,10.0,,7446
112,46b9c6b9ef3a4526,139,134,1,62,2016-08-08 10:00:08,2016-08-08 10:59:52,3584.0,3509.0,215.0,60.0,,32563
124,e30ab4bc31955a14,193,193,11,72,2016-08-08 10:00:07,2016-08-08 10:59:42,3575.0,3575.0,84.0,3.0,,42691
127,0798a45f5a7399f7,171,152,4,53,2016-08-08 09:59:56,2016-08-08 10:59:28,3572.0,3122.0,62.0,7.0,,26978
129,aef0d2e6e4e4a66d,143,125,5,99,2016-08-08 10:00:08,2016-08-08 10:59:14,3546.0,2621.0,116.0,60.0,,48893
136,b6b109045a892871,1367,103,7,44,2016-08-08 09:00:02,2016-08-08 10:53:25,6803.0,697.0,3552.0,1.0,,20278
137,c6b49c7250dfd0e3,356,178,5,53,2016-08-08 09:59:51,2016-08-08 10:59:37,3586.0,1098.0,32.0,1.0,,9896
138,40be37888491bb42,771,163,5,85,2016-08-08 09:59:19,2016-08-08 10:59:18,3599.0,2213.0,281.0,1.0,,42190
141,1757803b6a03fbd5,649,409,5,46,2016-08-08 08:26:46,2016-08-08 10:59:55,9189.0,2197.0,5446.0,1.0,,38353
142,57f7fc8021701227,416,209,5,55,2016-08-08 10:00:07,2016-08-08 11:00:07,3600.0,634.0,30.0,1.0,,3654
175,195630d4b0358a03,537,537,3,64,2016-08-08 10:00:05,2016-08-08 10:51:25,3080.0,3080.0,263.0,5.0,,31929
179,7a502d8200c45c70,115,113,33,96,2016-08-08 10:00:08,2016-08-08 10:59:37,3569.0,3509.0,120.0,30.0,,85626
181,b1e5de0380527820,337,114,8,43,2016-08-08 10:00:07,2016-08-08 10:59:57,3590.0,1350.0,220.0,10.0,,9771
185,e3a6fa063721767e,119,108,5,58,2016-08-08 10:00:09,2016-08-08 10:59:38,3569.0,3239.0,60.0,30.0,,33801
186,5b51661cfc008d36,357,113,6,56,2016-08-08 10:00:07,2016-08-08 10:59:57,3590.0,1140.0,30.0,10.0,,11650
202,815c1a824a9c8116,150,136,33,98,2016-08-08 10:00:07,2016-08-08 10:59:54,3587.0,3137.0,709.0,30.0,,79343
203,45afc94b7fe816f5,148,114,6,55,2016-08-08 10:00:06,2016-08-08 10:58:33,3507.0,1144.0,564.0,10.0,,10250
205,48733877c9cc8344,292,258,11,90,2016-08-08 10:00:07,2016-08-08 10:59:57,3590.0,2860.0,392.0,10.0,,55624
208,fddaae100c2e90f3,172,154,3,59,2016-08-08 09:59:50,2016-08-08 10:53:35,3225.0,2325.0,60.0,15.0,,21441
209,36436ee6bb674fc5,240,172,5,54,2016-08-08 10:00:08,2016-08-08 10:59:53,3585.0,2580.0,15.0,15.0,,20839
219,73144b5083415595,159,131,3,64,2016-08-08 09:46:37,2016-08-08 10:59:44,4387.0,3555.0,32.0,30.0,,32622
228,5994039bb7378d23,117,110,5,74,2016-08-08 10:00:09,2016-08-08 10:59:39,3570.0,3357.0,121.0,30.0,,24117
245,4098bcaf88b51e3e,542,528,3,95,2016-08-08 10:00:06,2016-08-08 11:00:07,3601.0,3391.0,214.0,3.0,,60260
252,7b85b6a33653b2f1,893,653,1,57,2016-08-08 10:00:24,2016-08-08 11:00:11,3587.0,3052.0,126.0,1.0,,29697
256,3855cf0d33942b2c,141,126,8,54,2016-08-08 10:00:08,2016-08-08 10:56:59,3411.0,2959.0,42.0,30.0,,28528
267,38e9f6f56373f78c,216,190,5,59,2016-08-08 10:00:08,2016-08-08 11:00:05,3597.0,3102.0,62.0,4.0,,28508
273,34d7f6758d434526,138,115,4,75,2016-08-08 10:00:08,2016-08-08 11:00:00,3592.0,3032.0,142.0,30.0,,46958
283,e63b2efc73c55494,140,109,5,66,2016-08-08 10:00:08,2016-08-08 10:59:38,3570.0,2897.0,60.0,30.0,,30767
291,6ea5bf741df74790,433,270,5,94,2016-08-08 09:59:46,2016-08-08 11:00:09,3623.0,1812.0,62.0,1.0,,770491
303,22962ac0a4daf2c1,152,135,6,86,2016-08-08 10:00:09,2016-08-08 10:59:44,3575.0,3071.0,60.0,30.0,,29144
314,76e93e7545401590,346,306,16,77,2016-08-08 10:00:08,2016-08-08 10:57:02,3414.0,2888.0,78.0,1.0,,51780
315,461520fe78ff424d,307,212,5,81,2016-07-16 19:38:43,2016-08-08 10:55:01,1955778.0,1953394.0,1952278.0,1.0,,39696
316,908ef26fbef6ac38,180,173,14,79,2016-08-08 09:59:56,2016-08-08 10:59:56,3600.0,3442.0,30.0,30.0,,70636
353,e2c578ee389d0459,1306,1163,2,52,2016-08-08 09:34:20,2016-08-08 10:58:37,5057.0,1227.0,2174.0,1.0,,27205
375,f98f5689cd683079,117,105,1,67,2016-08-08 10:00:09,2016-08-08 11:00:00,3591.0,2997.0,241.0,30.0,,42353
379,b0eedb12347d93e9,353,352,12,96,2016-08-08 10:00:07,2016-08-08 11:00:04,3597.0,3597.0,160.0,10.0,,81747
380,fef6ed619effb8dc,499,412,3,66,2016-08-08 10:00:08,2016-08-08 10:59:57,3589.0,3145.0,10.0,10.0,,34429
381,0d7c597618c4a7d0,366,127,1,73,2016-08-08 10:00:08,2016-08-08 11:00:02,3594.0,1270.0,10.0,10.0,,11150
382,413af6c003fd7451,418,253,8,45,2016-08-08 09:59:29,2016-08-08 10:59:29,3600.0,2181.0,10.0,10.0,,16133
386,ebdd0b00310ffe38,365,253,6,75,2016-08-08 10:00:04,2016-08-08 11:00:04,3600.0,2480.0,10.0,10.0,,25754
387,895848c0026413a2,319,118,10,78,2016-08-08 10:00:47,2016-08-08 11:00:45,3598.0,1170.0,300.0,10.0,,13955
388,153668b49fa11320,423,140,1,54,2016-08-08 10:00:05,2016-08-08 11:00:05,3600.0,878.0,10.0,10.0,,5099
391,0a3a3774278db8e4,127,108,1,43,2016-08-08 10:00:09,2016-08-08 10:59:45,3576.0,3085.0,32.0,30.0,,17993
394,3feab8e168a170df,125,119,18,101,2016-08-08 10:00:16,2016-08-08 10:59:59,3583.0,3433.0,34.0,30.0,,84154
406,7b53d9a098a8f249,152,140,6,79,2016-08-08 10:00:09,2016-08-08 10:59:39,3570.0,3216.0,60.0,30.0,,25566
414,82bfd5675ee9837e,119,103,11,53,2016-08-08 10:00:10,2016-08-08 10:59:40,3570.0,3090.0,60.0,30.0,,31651
415,5874acf058fddd30,140,121,1,100,2016-08-08 10:00:06,2016-08-08 10:57:03,3417.0,2847.0,134.0,30.0,,49315
416,011b739fe3e7055f,118,118,72,100,2016-08-08 10:00:12,2016-08-08 10:59:42,3570.0,3570.0,68.0,30.0,,91456
417,2139dc0f24f80c33,117,104,9,63,2016-08-08 10:00:09,2016-08-08 10:59:39,3570.0,3210.0,84.0,30.0,,39132
418,5eeb1e3633b88f1c,393,207,5,73,2016-08-08 10:00:11,2016-08-08 11:00:08,3597.0,1045.0,318.0,5.0,,7221
419,7ae5b7b1f9eb02df,667,402,4,75,2016-08-08 10:00:04,2016-08-08 10:59:59,3595.0,2210.0,52.0,5.0,,18061
420,27a711401ddcc297,118,108,6,97,2016-08-08 10:00:13,2016-08-08 10:59:43,3570.0,3270.0,60.0,30.0,,61900
423,7fa23030daf7eb50,240,200,2,89,2016-08-08 10:00:08,2016-08-08 11:00:08,3600.0,3000.0,30.0,15.0,,33304
442,f42fc06f25650e12,119,104,12,78,2016-08-08 10:00:07,2016-08-08 10:59:37,3570.0,3090.0,60.0,30.0,,47612
444,4e5cbc4fb9fc7571,331,270,6,66,2016-08-08 10:00:09,2016-08-08 10:56:05,3356.0,2740.0,20.0,10.0,,26207
465,9329e7dac45b9b98,299,193,2,46,2016-08-08 10:00:04,2016-08-08 11:00:03,3599.0,2254.0,57.0,10.0,,17594
469,7ce89eb1f018a9f1,359,258,5,72,2016-08-08 10:00:08,2016-08-08 10:59:59,3591.0,2591.0,21.0,10.0,,24348
470,35ed959ec81c3461,159,106,3,42,2016-08-08 10:00:06,2016-08-08 11:00:06,3600.0,2482.0,51.0,25.0,,18395
484,7848500a0a92499b,158,106,11,55,2016-08-08 09:43:01,2016-08-08 10:59:19,4578.0,2910.0,1008.0,30.0,,25285
485,4fd65172703589a2,456,450,5,81,2016-08-08 09:59:56,2016-08-08 10:59:29,3573.0,3406.0,33.0,1.0,,67355
487,a8af212dfdf95314,270,190,5,77,2016-08-08 10:00:00,2016-08-08 10:59:18,3558.0,3327.0,30.0,1.0,,43553
499,00d359b45fe18e1e,201,182,48,94,2016-08-08 10:00:08,2016-08-08 10:59:43,3575.0,3107.0,54.0,26.0,,81940
501,5865b40776c9b7ab,220,152,2,53,2016-08-08 10:00:05,2016-08-08 10:59:19,3554.0,1851.0,180.0,10.0,,13231
512,737288f6590b0f4d,152,140,10,84,2016-08-08 09:58:12,2016-08-08 11:00:00,3708.0,2441.0,301.0,30.0,,30248
515,9c44aff54470ed2a,228,147,1,53,2016-08-08 10:00:09,2016-08-08 11:00:08,3599.0,1953.0,232.0,3.0,,12764
521,7db5839b0e6cbe94,112,111,18,74,2016-08-08 10:00:06,2016-08-08 10:56:36,3390.0,3360.0,90.0,30.0,,62691
531,08da31bcd734627a,151,139,2,96,2016-08-08 10:00:07,2016-08-08 10:59:47,3580.0,3023.0,92.0,46.0,,70473
535,846264b159ca97b9,299,239,2,53,2016-08-08 10:00:08,2016-08-08 11:00:02,3594.0,2947.0,50.0,10.0,,21047
540,7c0637f33898850c,152,102,2,55,2016-08-08 10:00:07,2016-08-08 10:59:39,3572.0,2443.0,84.0,25.0,,20999
548,6bd30f445fc15f66,119,114,7,53,2016-08-08 10:00:07,2016-08-08 10:59:37,3570.0,3420.0,60.0,30.0,,28914
549,e8bee5d208a51095,296,216,2,55,2016-08-08 10:00:04,2016-08-08 11:00:05,3601.0,2646.0,57.0,10.0,,19535
551,3f1f8d9614d486a0,395,248,3,85,2016-08-08 10:00:08,2016-08-08 11:00:05,3597.0,2157.0,265.0,10.0,,25520
552,a9f603d68cad1bb3,120,105,4,64,2016-08-08 09:59:44,2016-08-08 10:59:44,3600.0,3150.0,60.0,30.0,,22700
556,4e9c066f2b8f84b6,294,234,2,57,2016-08-08 10:00:08,2016-08-08 11:00:02,3594.0,2913.0,40.0,10.0,,23151
562,cc820506ae04fca6,287,210,2,55,2016-08-08 10:00:04,2016-08-08 11:00:04,3600.0,2584.0,40.0,10.0,,21070
563,01c022a9c541b9fd,295,243,2,61,2016-08-08 10:00:04,2016-08-08 10:59:53,3589.0,2967.0,40.0,10.0,,23992
565,c58662d168c86b09,159,156,2,95,2016-08-08 10:00:06,2016-08-08 11:00:04,3598.0,3520.0,52.0,26.0,,76830
566,e4dd1eef6003475c,175,119,9,96,2016-08-08 10:00:04,2016-08-08 10:59:57,3593.0,2252.0,137.0,26.0,,62187
576,ee6eb0f3a45e7117,119,103,2,56,2016-08-08 10:00:07,2016-08-08 11:00:07,3600.0,3120.0,60.0,30.0,,31387
579,1e72f358256b780a,120,109,11,56,2016-08-08 10:00:08,2016-08-08 11:00:08,3600.0,3270.0,60.0,30.0,,36574
595,0424fb471e5f4ec4,138,116,2,63,2016-08-08 10:00:08,2016-08-08 10:57:32,3444.0,2889.0,51.0,26.0,,30241
597,c038f6d14d23fb2d,287,211,2,48,2016-08-08 10:00:08,2016-08-08 11:00:01,3593.0,2768.0,346.0,10.0,,16917
598,fe7c93b15421f581,279,239,2,65,2016-08-08 10:00:08,2016-08-08 10:59:58,3590.0,3055.0,137.0,10.0,,30931
604,61aa60646f452c65,175,102,3,60,2016-08-08 10:00:08,2016-08-08 10:59:26,3558.0,1335.0,60.0,15.0,,7669
613,a54898cb5e2c72b8,282,267,1,62,2016-08-08 10:00:08,2016-08-08 10:59:56,3588.0,3281.0,105.0,14.0,,37678
620,fd7f876b9c695e60,658,422,2,65,2016-08-08 10:00:08,2016-08-08 10:59:43,3575.0,2210.0,124.0,5.0,,20081
661,cb52aee73e718fce,172,161,24,96,2016-08-08 10:00:08,2016-08-08 10:58:21,3493.0,3283.0,39.0,26.0,,88474
689,9312252b735e1cc6,196,196,4,44,2016-08-08 09:56:47,2016-08-08 10:59:54,3787.0,3787.0,239.0,6.0,,25456
690,f757d90d7e0ec777,420,120,6,45,2016-08-08 10:00:09,2016-08-08 10:59:53,3584.0,731.0,32.0,1.0,,7845
705,4d49543926e781d3,120,102,3,69,2016-08-08 10:00:08,2016-08-08 10:59:46,3578.0,3068.0,60.0,30.0,,29350
729,9261638b34924434,249,138,7,43,2016-08-08 09:59:58,2016-08-08 10:59:43,3585.0,1867.0,61.0,1.0,,12174
731,8203af92c7740f60,154,118,8,47,2016-08-08 10:00:09,2016-08-08 10:58:53,3524.0,1214.0,301.0,3.0,,9331
741,e6c288335acc8dab,128,115,4,55,2016-08-08 10:00:08,2016-08-08 10:59:56,3588.0,2982.0,198.0,26.0,,24983
743,92088032d50a9a7d,140,108,10,92,2016-08-08 10:00:08,2016-08-08 10:59:47,3579.0,2750.0,52.0,26.0,,60690
756,b69277c3b7bcaeb1,289,258,6,58,2016-08-08 10:00:08,2016-08-08 10:59:58,3590.0,3180.0,300.0,10.0,,24770
758,07fff912bbb35991,294,189,6,49,2016-08-08 10:00:08,2016-08-08 10:59:59,3591.0,2081.0,110.0,10.0,,13825
759,b50b87e9373c389f,347,217,8,58,2016-08-08 10:00:07,2016-08-08 10:59:58,3591.0,2241.0,30.0,10.0,,18412
762,c944e08abe42e8b3,717,290,3,82,2016-08-08 10:00:07,2016-08-08 11:00:02,3595.0,1420.0,20.0,5.0,,16066
764,dfb8f1d67c264bf9,342,144,6,49,2016-08-08 10:00:08,2016-08-08 10:59:59,3591.0,1550.0,30.0,10.0,,12118
765,57688e0bca3ccae4,256,130,6,55,2016-08-08 10:00:08,2016-08-08 10:44:38,2670.0,1350.0,30.0,10.0,,11340
770,d5f6011784149550,115,108,5,74,2016-08-08 09:59:55,2016-08-08 10:59:45,3590.0,2922.0,470.0,30.0,,39105
772,47258224de3ff556,152,132,5,68,2016-08-08 10:00:08,2016-08-08 10:59:58,3590.0,3140.0,1760.0,10.0,,24350
773,f9d7ae98c356d6bf,347,107,5,55,2016-08-08 10:00:02,2016-08-08 11:00:03,3601.0,1070.0,151.0,10.0,,9037
775,667bde4057f00a3a,243,129,6,49,2016-08-08 10:00:08,2016-08-08 10:59:53,3585.0,1927.0,30.0,15.0,,18390
776,dad7a2b018d00d77,239,154,7,56,2016-08-08 10:00:08,2016-08-08 10:59:53,3585.0,2325.0,30.0,15.0,,22321
786,d6fedd4f144b0aba,279,203,2,53,2016-08-08 10:00:01,2016-08-08 11:00:07,3606.0,2462.0,84.0,10.0,,16021
798,e864f5e2aca8e8fe,164,111,6,64,2016-08-08 10:00:08,2016-08-08 10:59:45,3577.0,2017.0,30.0,30.0,,17009
799,bd1e08fcacd8584b,120,109,9,66,2016-08-08 10:00:40,2016-08-08 11:00:10,3570.0,3270.0,30.0,30.0,,37900
800,aa41539b896444df,122,122,36,75,2016-08-08 10:00:09,2016-08-08 11:00:04,3595.0,3595.0,31.0,30.0,,68934
809,daf866f701512292,337,285,3,59,2016-08-08 09:59:46,2016-08-08 10:59:57,3611.0,2416.0,240.0,2.0,,25226
814,e73f2cacd62e3520,121,121,65,65,2016-08-08 10:00:06,2016-08-08 11:00:01,3595.0,3595.0,207.0,30.0,,0
815,43f191b076eb84a2,117,109,6,57,2016-08-08 10:00:03,2016-08-08 10:59:37,3574.0,3450.0,216.0,30.0,,35886
818,816d94ddead47de1,185,146,6,51,2016-08-08 09:59:46,2016-08-08 10:58:26,3520.0,2343.0,243.0,30.0,,17009
839,85baaa2c0e82e2a2,345,302,1,70,2016-08-08 09:59:57,2016-08-08 10:59:49,3592.0,2385.0,30.0,4.0,,24409
840,fa92fb78b7b76458,722,695,7,83,2016-08-08 09:59:55,2016-08-08 10:55:28,3333.0,3194.0,30.0,1.0,,57856
849,8787c9b1e8b0c716,124,124,68,99,2016-08-08 10:00:08,2016-08-08 11:00:08,3600.0,3600.0,120.0,30.0,,88417
859,7f20c9eefaf7a4ed,340,220,1,57,2016-08-08 10:00:09,2016-08-08 10:59:59,3590.0,2338.0,40.0,10.0,,15450
864,3a9ff575b20ba0f6,140,100,4,47,2016-08-08 10:00:08,2016-08-08 11:00:06,3598.0,1824.0,63.0,60.0,,13572
870,8e2ab74d3f631629,122,108,16,62,2016-08-08 08:53:24,2016-08-08 10:07:30,4446.0,4056.0,786.0,30.0,,34296
874,de477c0b28174581,147,146,4,63,2016-08-08 10:00:10,2016-08-08 10:21:30,1280.0,1270.0,10.0,10.0,,20119
892,6821bd4ca86269cc,288,255,1,60,2016-08-08 10:00:09,2016-08-08 10:59:59,3590.0,3240.0,231.0,10.0,,33012
911,ed6bbc2872fd9ee8,1798,214,9,46,2016-08-08 07:11:55,2016-08-08 11:00:07,13692.0,10518.0,10092.0,2.0,,6266
913,6c0af558f854a897,127,116,1,49,2016-08-08 10:00:08,2016-08-08 10:43:36,2608.0,2036.0,60.0,60.0,,16394
915,33f83da0e5cec94e,361,146,5,51,2016-08-08 10:00:08,2016-08-08 10:59:59,3591.0,1450.0,10.0,10.0,,9093
936,c2bdee18dfd0507c,117,117,17,89,2016-08-08 10:00:07,2016-08-08 10:59:36,3569.0,3569.0,60.0,30.0,,76009
942,a3c7e2044446d304,352,192,6,62,2016-08-08 10:00:07,2016-08-08 10:59:57,3590.0,1940.0,30.0,10.0,,22632
943,06ea75bdf6a6edca,300,108,6,58,2016-08-08 10:00:09,2016-08-08 10:58:59,3530.0,1490.0,230.0,10.0,,10792
944,ac191d8f749d1762,349,137,7,50,2016-08-08 10:00:08,2016-08-08 10:59:58,3590.0,1380.0,30.0,10.0,,10306
946,a8a3c7f6d89eca0a,321,250,6,41,2016-08-08 10:00:08,2016-08-08 10:59:58,3590.0,2590.0,240.0,10.0,,15542
948,2fbd3a335672f141,345,161,6,52,2016-08-08 10:00:08,2016-08-08 10:59:58,3590.0,1650.0,30.0,10.0,,15805
960,aaf4ca34ba9746cb,310,199,5,53,2016-08-08 09:59:55,2016-08-08 10:57:48,3473.0,721.0,180.0,2.0,,7117
968,ee4186f3e487187c,126,117,6,62,2016-08-08 09:59:55,2016-08-08 10:59:55,3600.0,3330.0,62.0,30.0,,34815
978,f79fe449d0e62db4,122,102,1,68,2016-08-08 10:00:09,2016-08-08 10:59:41,3572.0,3044.0,60.0,30.0,,19412
980,c579381b35263841,122,118,13,98,2016-08-08 10:00:09,2016-08-08 10:59:39,3570.0,3420.0,63.0,30.0,,60240
993,99c8044946c542b2,193,143,7,49,2016-08-08 10:00:10,2016-08-08 10:59:42,3572.0,2115.0,40.0,30.0,,19969
996,80140efe7f40ed70,175,123,4,28,2016-08-08 10:00:09,2016-08-08 10:59:42,3573.0,2116.0,226.0,30.0,,12423
1001,ed07ded7f388d4df,280,269,4,40,2016-08-08 10:00:08,2016-08-08 10:59:59,3591.0,3261.0,30.0,30.0,,20484
1003,6cded8239759db9c,174,129,7,66,2016-08-08 10:00:08,2016-08-08 10:59:47,3579.0,2229.0,145.0,30.0,,21106
1013,3891b3630bef25cd,152,120,4,48,2016-08-08 09:46:38,2016-08-08 10:59:21,4363.0,3409.0,33.0,30.0,,18132
1018,f3e2906fa58ab31e,180,179,16,84,2016-08-08 10:00:09,2016-08-08 10:46:25,2776.0,2746.0,67.0,30.0,,42542
1028,9d296167904fd7f8,296,234,3,62,2016-08-08 09:59:59,2016-08-08 10:59:55,3596.0,1799.0,30.0,4.0,,18520
1050,da519538e96591f3,346,152,1,57,2016-08-08 10:00:07,2016-08-08 11:00:05,3598.0,1601.0,60.0,10.0,,16085
1054,7d55ed4b30aa7a0d,149,140,7,96,2016-08-08 10:00:08,2016-08-08 11:00:07,3599.0,3424.0,82.0,31.0,,89531
1058,a744fd94eb6db753,115,108,3,59,2016-08-08 10:00:08,2016-08-08 11:00:04,3596.0,3379.0,62.0,31.0,,35643
1063,c5c76f5d5a33c460,166,160,7,44,2016-08-08 10:00:09,2016-08-08 10:59:36,3567.0,3207.0,60.0,60.0,,19339
1067,ccc6ee9d083ba8f2,134,124,1,40,2016-08-08 10:00:10,2016-08-08 11:00:02,3592.0,3092.0,61.0,60.0,,13383
1071,7fa17bcb34fe1bac,119,107,9,50,2016-08-08 10:00:08,2016-08-08 10:59:38,3570.0,3210.0,60.0,30.0,,25243
1082,db867d98f17ed04b,119,115,3,47,2016-08-08 10:00:09,2016-08-08 10:59:39,3570.0,3450.0,60.0,30.0,,32042
1101,848fbdcdd23e5d0c,118,118,79,95,2016-08-08 10:00:09,2016-08-08 10:59:39,3570.0,3570.0,60.0,30.0,,89410
1102,b2856918be3a00b9,120,103,5,47,2016-08-08 10:00:09,2016-08-08 11:00:09,3600.0,3090.0,61.0,30.0,,19568
1113,3c440ba03a3efc94,228,196,5,53,2016-08-08 10:00:06,2016-08-08 10:59:49,3583.0,2747.0,130.0,30.0,,20311
1115,a7240031bf75fed9,152,125,6,86,2016-08-08 10:00:09,2016-08-08 11:00:00,3591.0,2793.0,59.0,30.0,,32384
1121,b95e3959c8af1e80,241,116,2,58,2016-08-08 10:00:09,2016-08-08 11:00:09,3600.0,1740.0,15.0,15.0,,16550
1122,ec755f785cc775c6,238,238,54,94,2016-08-08 10:00:10,2016-08-08 10:59:55,3585.0,3585.0,45.0,15.0,,83873
1146,5dd43736c51b5c7c,129,109,9,95,2016-08-08 10:00:09,2016-08-08 10:55:12,3303.0,1881.0,300.0,30.0,,39506
1149,2f6ece3456d58cf3,148,122,3,62,2016-08-08 10:00:08,2016-08-08 11:00:07,3599.0,2292.0,300.0,3.0,,21561
1169,48cf3f913e868e9e,410,249,9,66,2016-08-08 10:00:15,2016-08-08 11:00:12,3597.0,2259.0,10.0,10.0,,22148
1183,c4f8cadd383429c3,127,102,4,77,2016-08-08 10:00:09,2016-08-08 10:57:34,3445.0,2696.0,44.0,30.0,,38637
1184,d2b4e55b861ca178,187,169,14,83,2016-08-08 10:00:09,2016-08-08 10:59:53,3584.0,3070.0,44.0,30.0,,48752
1188,ba33ac51b91e3e47,332,279,5,97,2016-08-08 10:00:08,2016-08-08 10:59:57,3589.0,2949.0,149.0,10.0,,37846
1189,c88afadc79ac982b,126,100,1,57,2016-08-08 10:00:09,2016-08-08 10:59:52,3583.0,2850.0,31.0,30.0,,16502
1190,58e0f078be252d86,117,102,5,64,2016-08-08 10:00:09,2016-08-08 10:59:44,3575.0,3027.0,120.0,30.0,,24082
1195,d439922cafddaf93,117,103,5,66,2016-08-08 10:00:09,2016-08-08 10:59:43,3574.0,3148.0,120.0,30.0,,25926
1219,abc4a84438a1bb2a,128,104,6,50,2016-08-08 10:00:08,2016-08-08 10:59:44,3576.0,2136.0,60.0,60.0,,20179
1227,0251bf952632e691,165,140,4,72,2016-08-08 10:00:09,2016-08-08 10:59:38,3569.0,3042.0,31.0,30.0,,37414
1231,04949bd596301794,234,206,3,53,2016-08-08 10:00:11,2016-08-08 11:00:06,3595.0,2993.0,192.0,3.0,,25988
1244,f6f3d0b609902418,264,245,9,64,2016-08-08 10:00:08,2016-08-08 10:59:47,3579.0,3009.0,30.0,30.0,,28830
1260,3769c75173d7f13d,190,148,1,56,2016-08-08 07:50:00,2016-08-08 10:59:00,11340.0,8820.0,60.0,60.0,,60502
1313,1020e76834cc9778,135,105,6,98,2016-08-08 10:00:09,2016-08-08 10:56:28,3379.0,2517.0,32.0,30.0,,31323
1314,572ff75d2bf4af02,267,219,6,52,2016-08-08 10:00:06,2016-08-08 10:59:59,3593.0,2901.0,85.0,30.0,,25427
1329,f3ea5acaacb0aea0,124,116,2,92,2016-08-08 10:00:09,2016-08-08 10:59:38,3569.0,3329.0,40.0,30.0,,53531
1338,61871f7d3bdfa023,108,101,18,58,2016-08-08 10:00:28,2016-08-08 10:59:58,3570.0,3397.0,120.0,30.0,,42864
1341,08bfc44ba6fce57f,121,116,4,64,2016-08-08 10:00:09,2016-08-08 10:59:41,3572.0,3422.0,32.0,30.0,,36370
